,Context words,Collocate count,Total count,MI score,Negative,Neutral,Positive
4854,nazareth,2,29,9.617759047063043,0.0,1.0,0.0
3947,causeth,2,37,9.96923141756442,0.0,1.0,0.0
3361,morsel,2,10,8.081706146822834,0.0,1.0,0.0
3024,poverty,2,25,9.403634241710195,1.0,0.0,0.0
1758,aroer,2,16,8.75977805193547,0.0,1.0,0.0
4377,celosyria,2,13,8.460217770076563,0.0,1.0,0.0
284,corruption,2,32,9.75977805193547,0.0,1.0,0.0
44,moreh,2,3,6.344740552656625,0.0,1.0,0.0
279,teaching,2,25,9.403634241710195,0.0,1.0,0.0
3880,perverseness,2,6,7.344740552656626,1.0,0.0,0.0
223,exhort,2,17,8.847240893185809,0.0,1.0,0.0
1761,mean,2,33,9.804172171293922,0.0,1.0,0.0
4533,shook,2,15,8.666668647543988,1.0,0.0,0.0
5,cubits,2,225,12.573559243152506,0.0,1.0,0.0
3733,whoring,2,20,9.081706146822834,0.0,1.0,0.0
3611,affrighted,2,10,8.081706146822834,0.0,1.0,0.0
3696,operation,2,4,6.759778051935471,0.0,1.0,0.0
1107,devised,2,14,8.567132973993075,0.0,1.0,0.0
1757,imputed,2,9,7.929703053377782,0.0,1.0,0.0
3875,caldron,2,6,7.344740552656626,0.0,1.0,0.0
4536,means,2,53,10.487698506498669,0.0,1.0,0.0
3724,instant,2,8,7.759778051935471,0.0,1.0,0.0
3839,feignedly,2,2,5.75977805193547,0.0,1.0,0.0
3872,similitude,2,13,8.460217770076563,0.0,1.0,0.0
4384,anathema,2,1,4.75977805193547,0.0,1.0,0.0
276,armourbearer,2,19,9.007705565379055,0.0,1.0,0.0
3612,foreskin,2,10,8.081706146822834,0.0,1.0,0.0
1750,peaceable,2,20,9.081706146822834,0.0,0.0,1.0
3868,backward,2,21,9.15209547471423,0.0,1.0,0.0
3210,bochim,2,2,5.75977805193547,0.0,1.0,0.0
1769,talent,2,16,8.75977805193547,0.0,0.0,1.0
1087,converting,2,1,4.75977805193547,0.0,1.0,0.0
3188,descend,2,10,8.081706146822834,0.0,1.0,0.0
4917,sang,2,16,8.75977805193547,0.0,1.0,0.0
3835,abner,2,63,10.737057975435386,0.0,1.0,0.0
299,leadeth,2,20,9.081706146822834,0.0,1.0,0.0
3178,restraint,2,1,4.75977805193547,0.0,1.0,0.0
3179,discern,2,17,8.847240893185809,0.0,1.0,0.0
64,portions,2,18,8.929703053377782,0.0,1.0,0.0
1783,struck,2,10,8.081706146822834,1.0,0.0,0.0
1781,cock,2,12,8.344740552656626,1.0,0.0,0.0
3184,manna,2,21,9.15209547471423,0.0,1.0,0.0
3889,leah,2,34,9.84724089318581,0.0,1.0,0.0
1350,league,2,29,9.617759047063043,0.0,1.0,0.0
296,ekron,2,22,9.219209670572768,0.0,1.0,0.0
3205,shoot,2,21,9.15209547471423,1.0,0.0,0.0
294,ability,2,13,8.460217770076563,0.0,0.0,1.0
1668,midnight,2,15,8.666668647543988,0.0,1.0,0.0
292,hundredfold,2,7,7.567132973993075,0.0,1.0,0.0
5007,decision,2,2,5.75977805193547,0.0,1.0,0.0
1775,hazor,2,21,9.15209547471423,0.0,1.0,0.0
1774,thrice,2,17,8.847240893185809,0.0,1.0,0.0
3629,eliakim,2,15,8.666668647543988,0.0,1.0,0.0
3200,dieth,2,30,9.666668647543988,0.0,1.0,0.0
3883,humbly,2,4,6.759778051935471,0.0,1.0,0.0
3202,sheath,2,8,7.759778051935471,0.0,1.0,0.0
3838,edification,2,4,6.759778051935471,0.0,1.0,0.0
4927,moment,2,27,9.514665554098938,0.0,1.0,0.0
4538,sand,2,36,9.929703053377782,0.0,1.0,0.0
1116,reubenites,2,16,8.75977805193547,0.0,1.0,0.0
3726,waxen,2,15,8.666668647543988,0.0,1.0,0.0
3280,mockers,2,5,7.081706146822833,1.0,0.0,0.0
3281,hivites,2,16,8.75977805193547,0.0,1.0,0.0
4933,kohathites,2,15,8.666668647543988,0.0,1.0,0.0
1683,shammah,2,8,7.759778051935471,0.0,1.0,0.0
250,hypocrite,2,14,8.567132973993075,0.0,1.0,0.0
4541,quick,2,13,8.460217770076563,0.0,1.0,0.0
1139,repentest,2,2,5.75977805193547,0.0,1.0,0.0
3851,whoredoms,2,32,9.75977805193547,1.0,0.0,0.0
1710,lifter,2,1,4.75977805193547,0.0,1.0,0.0
3292,breathed,2,5,7.081706146822833,0.0,1.0,0.0
1317,partaker,2,13,8.460217770076563,0.0,1.0,0.0
1704,enduring,2,3,6.344740552656625,0.0,1.0,0.0
1747,proceed,2,17,8.847240893185809,0.0,1.0,0.0
242,bride,2,17,8.847240893185809,0.0,1.0,0.0
1318,medicine,2,4,6.759778051935471,0.0,1.0,0.0
4397,carcases,2,23,9.283340007992484,0.0,1.0,0.0
1319,pleaseth,2,12,8.344740552656626,0.0,1.0,0.0
1147,avoid,2,10,8.081706146822834,1.0,0.0,0.0
3622,knewest,2,10,8.081706146822834,0.0,1.0,0.0
4398,sabaoth,2,2,5.75977805193547,0.0,1.0,0.0
3308,ascent,2,4,6.759778051935471,0.0,1.0,0.0
1158,fishes,2,30,9.666668647543988,0.0,1.0,0.0
3310,euodias,2,1,4.75977805193547,0.0,1.0,0.0
1695,overwhelmed,2,8,7.759778051935471,0.0,0.0,1.0
1718,frame,2,5,7.081706146822833,0.0,1.0,0.0
3278,perceive,2,29,9.617759047063043,0.0,1.0,0.0
4938,longed,2,8,7.759778051935471,0.0,1.0,0.0
1160,caleb,2,40,10.081706146822832,0.0,1.0,0.0
1117,taste,2,30,9.666668647543988,0.0,1.0,0.0
